room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
12159641,1461,65305603,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,10.0,,Vegan/Fruitarian Accomodation,2017-07-23 04:58:26.984977,-1.319224,36.847065,0101000020E61000000A4B3CA06C6C4240A79201A08A1BF5BF
7803872,1461,41076000,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,40.0,,Godials Bed & Breakfast,2017-07-23 04:58:26.982392,-1.28823,36.786852,0101000020E61000006765FB90B7644240069E7B0F979CF4BF
8657111,1461,37401809,Shared room,,Kenya,,Uasin Gishu,0,0.0,2,1.0,,10.0,,bobi's nest,2017-07-23 04:58:26.979787,0.521865,35.292375,0101000020E61000008195438B6CA5414050AA7D3A1EB3E03F
9700465,1461,50093098,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,10.0,,A  room in a family house,2017-07-23 04:58:26.977200,-1.28321,36.897029,0101000020E61000002448A5D8D17242400E677E350788F4BF
15700804,1461,6828809,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,10.0,,Faiths Place,2017-07-23 04:58:26.974781,-1.262892,36.880181,0101000020E6100000C1C760C5A97042409C14E63DCE34F4BF
13220775,1461,72216703,Shared room,,Kenya,,Kilifi,0,0.0,2,1.0,,10.0,,Lit et petit dejeune,2017-07-23 04:58:26.972020,-3.218963,40.116472,0101000020E61000002A73F38DE80E4440BB4560AC6FC009C0
2082430,1461,10581656,Shared room,,Kenya,,Kwale,0,0.0,10,1.0,,25.0,,tabby kenyan host mom,2017-07-23 04:58:26.966748,-4.302066,39.576451,0101000020E61000008D5F7825C9C9434024EF1CCA503511C0
1314403,1461,1366466,Shared room,,Kenya,,Nairobi,1,0.0,4,1.0,,11.0,,Olympic Estate Guesthouse - Dorm ,2017-07-23 04:58:26.963988,-1.313941,36.778443,0101000020E61000006B662D05A463424001FA7DFFE605F5BF
14681639,1461,3064131,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,20.0,,Share a space with a local expat in Nairobi,2017-07-23 04:58:26.961892,-1.293859,36.782458,0101000020E61000002D3F7095276442400B2AAA7EA5B3F4BF
7795110,1461,41026839,Shared room,,Kenya,,Nairobi,0,0.0,6,1.0,,35.0,,Dorm Beds - (pp) Ladies and Men,2017-07-23 04:58:26.959318,-1.281659,36.818216,0101000020E61000002F88484DBB6842402BFC19DEAC81F4BF
14751017,1461,91943486,Shared room,,Kenya,,Kwale,0,0.0,2,1.0,,18.0,,4 Bedroom Furnished Beach Villa,2017-07-23 04:58:26.957201,-4.232515,39.597192,0101000020E610000067B796C970CC43405951836918EE10C0
15225965,1461,96771558,Shared room,,Kenya,,Kiambu,0,0.0,1,1.0,,12.0,,Private room in a two bedroom house.,2017-07-23 04:58:26.955149,-1.24543,36.660966,0101000020E61000004CE2AC889A5442400551F70148EDF3BF
14616350,1461,90403809,Shared room,,Kenya,,Nairobi,1,0.0,3,1.0,,30.0,,,2017-07-23 04:58:26.948380,-1.323366,36.827278,0101000020E6100000A359D93EE4694240A036AAD3812CF5BF
14399454,1461,88506328,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,40.0,,Serene Furnished Studio Apartment,2017-07-23 04:58:26.945674,-1.295039,36.776188,0101000020E610000019C6DD205A63424074B680D07AB8F4BF
16953657,1461,102606887,Shared room,,Kenya,,Kwale,0,0.0,2,1.0,,23.0,,Cool breeze and secure apartment,2017-07-23 04:58:26.943295,-4.293883,39.577846,0101000020E6100000ED0F94DBF6C94340C76647AAEF2C11C0
8876929,1461,46456044,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,30.0,,Large one bedroom apartment,2017-07-23 04:58:26.936358,-1.32412,36.881563,0101000020E61000008C2E6F0ED77042401DACFF73982FF5BF
4421468,1461,20782499,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,36.0,,Furnished room to let  Kilimani,2017-07-23 04:58:25.917116,-1.293456,36.786927,0101000020E610000071AB2006BA644240240A2DEBFEB1F4BF
1786883,1461,9377532,Shared room,,Kenya,,Nairobi,0,0.0,16,1.0,,15.0,,Manyatta Backpackers,2017-07-23 04:58:25.914467,-1.289566,36.805733,0101000020E61000006B274A42226742405D8940F50FA2F4BF
8063434,1461,41076000,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,35.0,,Godials Bed & Breakfast,2017-07-23 04:58:25.909193,-1.289219,36.78231,0101000020E6100000B9AAECBB22644240F31B261AA4A0F4BF
15710942,1461,100631765,Shared room,,Kenya,,Trans Nzoia,0,0.0,3,1.0,,35.0,,Comfortable& private rooms for you,2017-07-23 04:58:25.907148,0.923321,35.005364,0101000020E6100000B2497EC4AF80414073B8567BD88BED3F
2542217,1461,12892447,Shared room,,Kenya,,Nairobi,0,0.0,3,1.0,,25.0,,Accomodation and plan safaris,2017-07-23 04:58:25.902073,-1.28426,36.892206,0101000020E6100000C2A563CE33724240B1F9B836548CF4BF
